TIME	LAT	LON	POPULATION
2019-08-12 10:32:57	38.4	115.8	3
2019-08-12 10:32:57	40.5	117.1	3
2019-08-12 10:32:57	40.95	117.9	9
2019-08-12 10:32:57	39.25	115.3	1
2019-08-12 10:32:57	38.55	114.7	2
2019-08-12 10:32:57	38.6	115	1
2019-08-12 10:32:57	38.65	117.15	2
2019-08-12 10:32:57	39.5	116.3	2
2019-08-12 10:32:57	38.05	115.9	2
2019-08-12 10:32:57	39.75	114.65	2
2019-08-12 10:32:57	39.05	116.6	1
2019-08-12 10:32:57	38.45	115.05	2
2019-08-12 10:32:57	39.45	116.55	2
2019-08-12 10:32:57	38.45	115.1	2
2019-08-12 10:32:57	38.75	117.15	1
2019-08-12 10:32:57	38.3	117.5	3
2019-08-12 10:32:57	39.75	117.95	1
2019-08-12 10:32:57	39.6	116.15	2
2019-08-12 10:32:57	39.3	116.3	2
2019-08-12 10:32:57	38	115.55	6
2019-08-12 10:32:57	39.6	117.8	1
2019-08-12 10:32:57	39.05	116.5	1
2019-08-12 10:32:57	39.05	116.45	4
2019-08-12 10:32:57	38.3	115.95	1
2019-08-12 10:32:57	39.35	116.85	4
2019-08-12 10:32:57	40.4	114	6
2019-08-12 10:32:57	38.7	114.9	3
2019-08-12 10:32:57	39.5	115.8	3
2019-08-12 10:32:57	38.45	115.55	1
2019-08-12 10:32:57	38.3	115.75	2
2019-08-12 10:32:57	39.8	116.75	2
2019-08-12 10:32:57	39.9	116.95	1
2019-08-12 10:32:57	38.95	117.7	1
2019-08-12 10:32:57	38.85	114.6	3
2019-08-12 10:32:57	38	114.3	1
2019-08-12 10:32:57	39.85	117.8	3
2019-08-12 10:32:57	38.1	114.6	7
2019-08-12 10:32:57	38.1	114.55	1
2019-08-12 10:32:57	41.3	117.75	2
2019-08-12 10:32:57	40.95	117	1
2019-08-12 10:32:57	39.9	116.8	6
2019-08-12 10:32:57	38.2	116.4	2
2019-08-12 10:32:57	39.2	115.75	6
2019-08-12 10:32:57	38.65	114.65	2
2019-08-12 10:32:57	38.65	114.7	4
2019-08-12 10:32:57	38.15	116.45	3
2019-08-12 10:32:57	39.45	117	18
2019-08-12 10:32:57	39.45	117.75	2
2019-08-12 10:32:57	41	117.95	11
2019-08-12 10:32:57	40.1	116.5	4
2019-08-12 10:32:57	40.1	116.45	3
2019-08-12 10:32:57	38.9	116.4	1
2019-08-12 10:32:57	40.15	116.5	5
2019-08-12 10:32:57	38.9	116.35	6
2019-08-12 10:32:57	41.4	114.45	2
2019-08-12 10:32:57	39.2	115.45	1
2019-08-12 10:32:57	38	116.8	1
2019-08-12 10:32:57	40	114.1	4
2019-08-12 10:32:57	38	116.75	1
2019-08-12 10:32:57	40.1	117.55	1
2019-08-12 10:32:57	39.45	116.75	3
2019-08-12 10:32:57	39.25	117.75	2
2019-08-12 10:32:57	38.6	114.35	2
2019-08-12 10:32:57	41.2	117.8	2
2019-08-12 10:32:57	39.25	117.8	41
2019-08-12 10:32:57	38.55	114.8	5
2019-08-12 10:32:57	39.5	116.45	3
2019-08-12 10:32:57	39.1	115.8	2
2019-08-12 10:32:57	38.8	115.15	5
2019-08-12 10:32:57	39.45	115.95	6
2019-08-12 10:32:57	39.6	116.8	3
2019-08-12 10:32:57	38.35	117.05	2
2019-08-12 10:32:57	38.85	114.7	2
2019-08-12 10:32:57	38.4	115	3
2019-08-12 10:32:57	39.9	117.3	4
2019-08-12 10:32:57	40.35	115.5	1
2019-08-12 10:32:57	39.9	117.25	3
2019-08-12 10:32:57	40.15	117.85	2
2019-08-12 10:32:57	40.15	117.9	5
2019-08-12 10:32:57	40.45	116.8	2
2019-08-12 10:32:57	38.35	115.1	5
2019-08-12 10:32:57	39.35	115.85	2
2019-08-12 10:32:57	38.45	117	6
2019-08-12 10:32:57	39.25	116.85	6
2019-08-12 10:32:57	39.85	116.85	5
2019-08-12 10:32:57	39.5	117.05	2
2019-08-12 10:32:57	39.5	117.1	2
2019-08-12 10:32:57	40.15	117.95	15
2019-08-12 10:32:57	39.3	115.9	10
